Name:,Strain:,Temperature:,Inactivation
E. Coli,961019a,-7,0.31
E. Coli,961019a,-7,0.92
E. Coli,961019a,-7,1.42
E. Coli,961019a,-7,1.67
E. Coli,961019a,-7,1.73
E. Coli,25922b,-7,0.3
E. Coli,25922b,-7,0.89
E. Coli,25922b,-7,1.44
E. Coli,25922b,-7,1.86
E. Coli,25922b,-7,1.72
E. Coli,961019,-15,1.45
E. Coli,961019,-15,5.37
E. Coli,961019,-15,4.89
E. Coli,961019,-15,6.1
E. Coli,961019,-15,6.63
E. Coli,25922,-15,1.75
E. Coli,25922,-15,3.63
E. Coli,25922,-15,5.38
E. Coli,25922,-15,6.58
E. Coli,25922,-15,7.1
E. Coli,961019,-30,1.35
E. Coli,961019,-30,2.49
E. Coli,961019,-30,3.53
E. Coli,961019,-30,3.71
E. Coli,961019,-30,3.98
E. Coli,25922,-30,1.4
E. Coli,25922,-30,2.68
E. Coli,25922,-30,4.37
E. Coli,25922,-30,3.83
E. Coli,25922,-30,5.01
E. Coli,961019,-80,0.48
E. Coli,961019,-80,1.48
E. Coli,961019,-80,2.05
E. Coli,961019,-80,2.62
E. Coli,961019,-80,3.1
E. Coli,25922,-80,0.31
E. Coli,25922,-80,0.81
E. Coli,25922,-80,1.43
E. Coli,25922,-80,3.16
E. Coli,25922,-80,2.03
Enterococcus Faecalis,51299d,-7,0.2
Enterococcus Faecalis,51299d,-7,0.53
Enterococcus Faecalis,51299d,-7,0.34
Enterococcus Faecalis,51299d,-7,0.7
Enterococcus Faecalis,51299d,-7,1.08
Enterococcus Faecalis,29212e,-7,0.42
Enterococcus Faecalis,29212e,-7,0.56
Enterococcus Faecalis,29212e,-7,0.95
Enterococcus Faecalis,29212e,-7,1.2
Enterococcus Faecalis,29212e,-7,1.11
Enterococcus Faecalis,51299,-15,0.23
Enterococcus Faecalis,51299,-15,0.67
Enterococcus Faecalis,51299,-15,1.2
Enterococcus Faecalis,51299,-15,2.28
Enterococcus Faecalis,51299,-15,2.44
Enterococcus Faecalis,29212,-15,0.57
Enterococcus Faecalis,29212,-15,1.39
Enterococcus Faecalis,29212,-15,2.28
Enterococcus Faecalis,29212,-15,2.61
Enterococcus Faecalis,29212,-15,3.05
Enterococcus Faecalis,51299-s,-30,0.28
Enterococcus Faecalis,51299-s,-30,0.43
Enterococcus Faecalis,51299-s,-30,0.46
Enterococcus Faecalis,51299-s,-30,0.63
Enterococcus Faecalis,51299-s,-30,0.73
Enterococcus Faecalis,29212,-30,0.06
Enterococcus Faecalis,29212,-30,0.2
Enterococcus Faecalis,29212,-30,0.22
Enterococcus Faecalis,29212,-30,0.24
Enterococcus Faecalis,29212,-30,0.37
Enterococcus Faecalis,51299,-80,0.11
Enterococcus Faecalis,51299,-80,0.22
Enterococcus Faecalis,51299,-80,0.29
Enterococcus Faecalis,51299,-80,0.42
Enterococcus Faecalis,51299,-80,0.48
Enterococcus Faecalis,29212,-80,0.18
Enterococcus Faecalis,29212,-80,0.28
Enterococcus Faecalis,29212,-80,0.33
Enterococcus Faecalis,29212,-80,0.46
Enterococcus Faecalis,29212,-80,0.52
